BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Flores, Anthony",800260,VeteransMemorial,2025-04-23 20:01:42.450,R,CU,00,5.597968734,-1.413676969,5.850497075,80.92736,0.2039839958,17.800370025,3292.543634,75,2,Ball,
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-23 21:43:34.200,R,CH,10,5.445218517,1.704425342,6.594108866,84.23803,5.97381694,14.089478648,2009.918261,75,2,Called Strike,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 19:31:14.670,R,CU,10,6.395988933,-0.728207568,6.593427075,77.83567,-15.130885382,-3.91534524,2624.325304,75,0,Swinging Strike,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 18:43:02.310,R,FA,00,6.523465268,-0.7581498591,6.946027677,92.93649,21.533722422,4.235965514,2193.589311,75,0,Ball,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 19:29:47.130,R,FA,30,6.489296372,-0.8124021199,6.990767677,91.39147,21.345675656,0.9340185265,2219.762899,75,0,Called Strike,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 18:57:42.900,R,FA,11,6.560693704,-0.7596679845,6.570677677,90.71365,17.325041293,-0.09731033102,2454.363939,75,2,Foul,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 19:18:14.200,R,CU,00,6.404278731,-0.8163832474,6.809137075,77.42955,-14.762797512,-2.432685215,2560.087847,75,1,Ball,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 19:17:44.210,R,FA,12,6.489074481,-0.9795081011,6.931427677,91.8539,22.268390446,2.956477889,2266.504211,75,0,Swinging Strike,
"Flores, Anthony",800260,VeteransMemorial,2025-04-23 19:57:46.500,R,FA,00,5.195877834,-1.603066213,6.126747677,89.61332,10.242878783,-6.028962945,2572.46501,75,1,Ball,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 18:44:27.300,R,FA,00,6.498781258,-0.7128844311,6.960757677,92.86145,20.197878237,4.656035686,2188.309163,75,1,Swinging Strike,
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-23 21:43:16.930,R,CH,00,5.528918898,1.611574585,6.438828866,83.57234,5.400591976,12.833057844,2012.815005,75,2,Ball,
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-23 21:52:05.330,R,FA,01,5.698332079,1.491640771,6.783787677,92.60643,18.150322595,11.07315776,2103.6813,75,0,In Play,Out
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-23 21:40:41.000,R,CH,02,5.557818154,1.519595839,6.517928866,84.70398,5.836429094,15.739308983,1986.677437,75,0,In Play,Out
