BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 01:08:15.644,L,SL,32,4.978626121,1.657545179,6.154786406,86.174092306,6.512062188,5.735655842,2345.268176281,48,1,Swinging Strike,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 00:59:19.770,R,SL,10,5.09023267,1.565912551,6.621588857,83.784189325,4.655063358,-0.8322382143,2317.542791669,48,0,Ball,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 01:20:13.750,R,SI,10,4.793111424,1.555097536,6.193127663,92.422953499,4.637856323,17.052585503,2174.610653447,48,1,Ball,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 01:20:30.039,R,SL,20,4.97852929,1.55486836,5.909005128,87.158550115,5.358607787,-0.7197994457,2343.491121871,48,1,Called Strike,
"Seppings, Jack",808952,Pelicans Ballpark,2025-04-09 01:44:22.535,L,FA,00,6.113691179,2.718064565,6.289130399,91.718334187,16.964821915,8.402828631,2190.209420317,65,0,Foul,
"Seppings, Jack",808952,Pelicans Ballpark,2025-04-09 01:56:24.880,R,FA,01,6.230765963,2.6489127,6.333628099,92.217425852,18.202279892,6.036665596,2267.252273334,65,0,Ball,
"Garcia, Sam",822760,,2025-04-09 14:51:12.600,,SL,,5.183581041,-2.938856351,7.129157426,71.61736,-2.10012614,12.018923267,2175.836226,,,,
"Rodriguez, Yerlin",693750,,2025-04-09 15:19:50.090,,FA,,5.656418631,1.895304734,6.894800095,95.84436,14.909792026,12.437020231,2281.567501,,,,
"Welch, Chandler",803068,,2025-04-09 14:56:15.340,,SW,,5.379780668,1.897632335,7.332206195,76.44533,,,2383.486326,,,,
"Rodriguez, Yerlin",693750,,2025-04-09 15:19:15.960,,SL,,6.254468642,1.689302619,6.342827426,87.92544,3.61333832,-4.812158936,2574.391964,,,,
"Welch, Chandler",803068,,2025-04-09 14:56:37.270,,SW,,5.406886467,1.939504431,7.192096195,75.41109,2.449598189,-15.258897529,2490.225896,,,,
"Welch, Chandler",803068,,2025-04-09 15:00:42.070,,FA,,5.789380989,1.502103261,7.520050095,86.91794,,,2121.835478,,,,
"Aquino, Patricio",699223,,2025-04-09 15:21:44.770,,SI,,5.589072969,2.463313669,6.692043964,86.63587,7.179781048,19.698333289,2074.09445,,,,
"Birchard, Ryan",804670,Modern Woodmen Park,2025-04-09 23:43:09.861,L,FA,20,6.364191335,-0.589590698,6.571340588,91.955504873,18.920136658,1.765185987,2088.344095813,60,0,"In Play, Out(s)",Field Out
"Birchard, Ryan",804670,Modern Woodmen Park,2025-04-10 00:01:00.341,R,FC,00,6.246187154,-0.4033015029,6.816803466,90.048746426,12.365980672,-7.134083559,2419.632183674,60,2,Ball,
"Birchard, Ryan",804670,Modern Woodmen Park,2025-04-10 00:08:59.733,R,FA,10,6.399762185,-0.5912661053,6.593155701,91.305704212,20.961989231,-1.170180492,2098.016528727,60,0,Foul,
"Birchard, Ryan",804670,Modern Woodmen Park,2025-04-10 00:13:18.061,R,FC,20,6.387745195,-0.448352036,6.651783129,87.769156928,4.86902755,-5.279204535,2379.482055648,60,1,"In Play, Out(s)",Field Out
"Birchard, Ryan",804670,Modern Woodmen Park,2025-04-10 00:29:30.996,R,SW,12,6.208566329,-0.4124683157,6.586147155,80.353082701,-6.623123691,-15.494140403,2461.157104717,60,1,Ball,
"DeBerry, Jaron",809229,Maryvale Backfield 3,2025-04-10 11:05:53.390,L,SI,12,5.265977823,1.986605477,6.843201065,94.22848,11.417122742,11.620833311,2272.383305,,1,Ball,
"DeBerry, Jaron",809229,Maryvale Backfield 3,2025-04-10 11:04:57.510,L,SL,00,5.426419548,1.88299939,6.322274119,86.4713,3.45372905,-6.913438603,2495.423771,,1,Called Strike,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-10 23:41:18.265,R,FA,11,5.61698038,2.367072186,6.193650504,86.87841513,13.782077847,-4.812519995,2701.321106005,61,2,Called Strike,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-10 23:49:42.192,R,FC,00,5.632260545,2.157012965,6.310264972,81.112548828,10.924281153,-4.964535696,2539.810021639,61,1,Called Strike,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:17:55.901,R,FC,21,5.71309954,2.426684087,6.087776501,79.79624865,9.228879458,-9.232515484,2475.075851141,61,1,"In Play, No Out",Single
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:17:26.879,R,SW,01,5.682426703,2.099282795,6.452849005,76.695327387,0.6345358642,-15.857831313,2675.998824075,61,1,Ball,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:20:35.448,R,SI,00,5.57662428,2.343388339,6.484937376,87.236927306,18.727494905,7.59079786,2524.325415618,61,1,Called Strike,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:18:30.251,R,FA,00,5.762725527,2.351253325,6.132513362,85.713768655,11.846588834,-5.295470361,2677.599349416,61,1,Foul,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:24:30.358,R,FA,30,5.563351287,2.508791955,6.447938126,85.395235736,11.32338317,-3.021627455,2693.996028614,61,2,Ball,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:41:53.469,R,SW,01,5.682136,2.188429587,6.363355638,75.958473494,-4.76255065,-13.012247606,2693.159492183,61,1,Ball,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:58:26.718,R,SI,01,5.554749736,2.412234672,6.39158389,87.375085485,14.816030142,6.771790283,2555.423108063,61,1,Swinging Strike,
"Root, Bayden",694843,Modern Woodmen Park,2025-04-11 01:04:41.276,R,SL,12,5.071602768,1.116582223,6.700412176,88.707680122,3.7295563,-4.280520689,2625.75560835,61,2,Swinging Strike,
"Rodriguez, Manuel",804973,Modern Woodmen Park,2025-04-11 00:59:41.491,R,SW,11,5.680065738,2.153136281,6.179555662,74.710851297,-1.981381532,-14.179337804,2610.062975855,61,2,Foul,
"Root, Bayden",694843,Modern Woodmen Park,2025-04-11 01:15:57.085,R,SL,01,4.935046465,1.019327618,7.88416686,87.468826041,-0.3438723463,-9.376130778,2682.750100692,61,2,Foul,
"Rodriguez, Yerlin",693750,Modern Woodmen Park,2025-04-11 01:43:43.045,R,SL,11,5.666843388,1.842418387,6.019018657,87.659827054,1.282091682,-11.945946942,2691.937015846,61,0,Called Strike,
"Cruz, Stiven",691602,Keesler Federal Park,2025-04-11 01:32:22.989,R,SW,00,5.808168898,1.516200064,5.50134884,78.063476599,12.615809027,-0.5182044024,2249.992579223,73,0,Foul,
